journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,,preserve_journal_scope,preserve_article_types,additional_notes,,ISSN,eISSN,Web of Science Categories,WOS_first_psych_category
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,https://www.tandfonline.com/toc/cjri20/current,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=cjri20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cjri20,T,T,NM,,,https://osf.io/v8hk3,https://osf.io/6dn2f,,,0264-6838,1469-672X,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COGNITIVE SCIENCE,https://onlinelibrary.wiley.com/journal/15516709,https://onlinelibrary.wiley.com/page/journal/15516709/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/15516709/homepage/forauthors.html,T,T,NM,,,https://osf.io/an5t4,https://osf.io/nbya4,,,0364-0213,1551-6709,"Psychology, Experimental","Psychology, Experimental"
SUICIDOLOGY ONLINE-SOL,http://www.suicidology-online.com/,http://www.suicidology-online.com/index.htm,Could not find anything more detailed than Scope page.,F,T,NM,,,https://osf.io/mvz36,Could not find anything more detailed than Scope page.,TH checked and also cannot find article types page,,2078-5488,2078-5488,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF CHILD AND ADOLESCENT MENTAL HEALTH,https://www.tandfonline.com/journals/rcmh20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rcmh20,Could not find anything more detailed than Scope page.,F,T,NM,,,https://osf.io/przue,Could not find anything more detailed than Scope page.,TH checked and also cannot find article types page,,1728-0583,1728-0591,"Psychology, Clinical","Psychology, Clinical"
ADDICTIVE BEHAVIORS,https://www.sciencedirect.com/journal/addictive-behaviors,https://www.sciencedirect.com/journal/addictive-behaviors/about/aims-and-scope,https://www.elsevier.com/wps/find/journaldescription.cws_home/471?generatepdf=true,T,T,NM,,,https://osf.io/fqrk5,https://osf.io/9d3va,,,0306-4603,1873-6327,"Substance Abuse | Psychology, Clinical","Psychology, Clinical"
REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,https://www.riped-online.com/,https://www.riped-online.com/about.html,https://www.riped-online.com/submissions.html,F,T,NM,,,https://osf.io/8srjh,https://osf.io/zc2ux,,,1886-8576,2340-7700,"Psychology, Applied","Psychology, Applied"
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,https://journals.sagepub.com/home/psr,https://journals.sagepub.com/aims-scope/PSR,https://journals.sagepub.com/author-instructions/PSR,T,T,NM,,,https://osf.io/grm6h,https://osf.io/hm8wn,,,1088-8683,1532-7957,"Psychology, Social","Psychology, Social"
GEROPSYCH-THE JOURNAL OF GERONTOPSYCHOLOGY AND GERIATRIC PSYCHIATRY,https://www.hogrefe.com/ch/zeitschrift/geropsych,https://www.hogrefe.com/ch/zeitschrift/geropsych,https://www.hogrefe.com/ch/index.php?eID=dumpFile&t=f&f=2388&token=dda7cba0e029d72692a59cc7e2d53590e2d18fcc,F,T,NM,,,https://osf.io/4yzfm,https://osf.io/r2ndw,,,1662-9647,1662-971X,"Psychology, Development","Psychology, Development"
PSYCHOLOGICAL INJURY & LAW,https://www.springer.com/journal/12207,https://www.springer.com/journal/12207/aims-and-scope,https://www.springer.com/journal/12207/submission-guidelines,T,T,NM,,,https://osf.io/gm2cu,https://osf.io/e7b5h,,,1938-971X,1938-9728,"Psychology, Clinical","Psychology, Clinical"
CHILD DEVELOPMENT PERSPECTIVES,https://srcd.onlinelibrary.wiley.com/journal/17508606,https://srcd.onlinelibrary.wiley.com/hub/journal/17508606/productinformation.html,https://srcd.onlinelibrary.wiley.com/hub/journal/17508606/forauthors.html,T,F,NM,,,https://osf.io/g34hj,https://osf.io/w3fsv,,,1750-8592,1750-8606,"Psychology, Development","Psychology, Development"
COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,https://www.tandfonline.com/journals/rcoa20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rcoa20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcoa20,T,T,NM,,,https://osf.io/qmcgd,https://osf.io/ef6zh,,,1752-1882,1752-1890,"Psychology, Applied","Psychology, Applied"
EATING BEHAVIORS,https://www.sciencedirect.com/journal/eating-behaviors,https://www.sciencedirect.com/journal/eating-behaviors/about/aims-and-scope,https://www.elsevier.com/journals/eating-behaviors/1471-0153/guide-for-authors,F,T,NM,,,https://osf.io/bt9z4,https://osf.io/5xt4u,,,1471-0153,1873-7358,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
MEMORY & COGNITION,https://www.springer.com/journal/13421,https://www.springer.com/journal/13421/aims-and-scope,https://www.springer.com/journal/13421/submission-guidelines#Instructions%20for%20Authors_Article%20Types,T,T,NM,,,https://osf.io/vh3kc,https://osf.io/r6f89,,,0090-502X,1532-5946,"Psychology, Experimental","Psychology, Experimental"
