PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Hardman, Doug; Hutchinson, Phil; Ongaro, Giulio								Questioning the Consensus on Placebo and Nocebo Effects								PSYCHOTHERAPY AND PSYCHOSOMATICS				90	3			211	212		10.1159/000513466			APR 2021	2021			[Hardman, Doug] Bournemouth Univ, Dept Psychol, Poole House,Talbot Campus, Poole BH12 5BB, Dorset, England; [Hutchinson, Phil] Manchester Metropolitan Univ, Dept Psychol, Manchester, Lancs, England; [Ongaro, Giulio] London Sch Econ & Polit Sci, Dept Anthropol, London, England; [Hardman, Doug] Bournemouth Univ, Dept Psychol, Poole House,Talbot Campus, Poole BH12 5BB, Dorset, England								2							Psychiatry; Psychology	WOS:000605728600001		
J	Little, Melissa A.; Fahey, Margaret C.; Wang, Xin-Qun; Talcott, G. Wayne; McMurry, Timothy; Klesges, Robert C.								Trends in Tobacco Use among Young Adults Presenting for Military Service in the United States Air Force between 2013 and 2018								SUBSTANCE USE & MISUSE				56	3			370	376		10.1080/10826084.2020.1868517			DEC 28 2020	2020	Background: The US military has historically higher tobacco use compared to civilians, and tobacco use increases following enlistment. While the military is vulnerable to tobacco use, current surveillance of tobacco among this high-risk population is lacking. Methods: Recently enlisted Airmen (N = 43,597) between 2013 and 2018 were asked about tobacco use prior to enlistment across ten products: (1) cigarettes/roll your own tobacco, (2) smokeless tobacco/snus, (3) cigars, cigarillos/little cigars, (4) hookah/pipe, and (5) e-cigarettes. Results: Hookah/pipe use, cigarettes/roll your own, smokeless tobacco/snus, and cigars/little cigars/cigarillos use decreased significantly between 2013 and 2018, while the prevalence of e-cigarette use increased (p's < 0.0001). The relationships between the time and each tobacco product(s) use outcomes were influenced differently by different age, race, education and marital status. Conclusion: While e-cigarette use has increased in the civilian sector, the use of e-cigarettes among new recruits increased much more drastically (i.e. prevalence 15.3% in 2018). Further, demographic characteristics influenced tobacco trends; specifically, recruits of racial minorities increased their use of e-cigarettes over the past five years faster than Whites. Of concern is what impact this dramatic increase in e-cigarette use will have on overall health and later initiation of combustible tobacco products in the military.		[Little, Melissa A.; Talcott, G. Wayne; Klesges, Robert C.] Univ Virginia, Ctr Addict Prevent Res, Charlottesville, VA USA; [Little, Melissa A.; Wang, Xin-Qun; Talcott, G. Wayne; McMurry, Timothy; Klesges, Robert C.] Univ Virginia, Dept Publ Hlth Sci, Charlottesville, VA USA; [Little, Melissa A.; Talcott, G. Wayne] Joint Base San Antonio Lackland, San Antonio, TX USA; [Fahey, Margaret C.] Univ Memphis, Dept Psychol, Memphis, TN 38152 USA; [Little, Melissa A.] Univ Virginia, Publ Hlth Sci, 560 Ray C Hunt Dr,Rm 2119, Charlottesville, VA 22903 USA; [Little, Melissa A.] Univ Virginia, UVA Canc Ctr, 560 Ray C Hunt Dr,Rm 2119, Charlottesville, VA 22903 USA								9							Substance Abuse; Psychiatry; Psychology	WOS:000607556000001		
J	Wawrzyniak, Agata; Lipinska-Opalka, Agnieszka; Kalicki, Boleslaw; Kloc, Malgorzata								The Effect of Passive Exposure to Tobacco Smoke on the Immune Response in Children with Asthma								SUBSTANCE USE & MISUSE				56	3			424	430		10.1080/10826084.2020.1869263			DEC 28 2020	2020	Introduction: There are a few publications about the impact of tobacco smoke on the children's immune system. Material and Methods: The study group consisted of 43 children with asthma. The control group consisted of 37 healthy children. The exposure to tobacco smoke was assessed by the presence of the cotinine in the urine (metabolit of nicotine). Results: The group of children with asthma exposed to tobacco smoke had significantly higher levels of the IL-1 and lower levels IL-4 than children not exposed to the passive smoking. The children from the control group exposed to tobacco smoke had a significantly higher concentration of IL-4 than unexposed children. In the whole analyzed population, there was a significant positive correlation between cotinine-IL1 and cotinine-CRP. Conclusion: In this study we found that the passive exposure to tobacco smoke has the immunomodulatory effects on the immune system.		[Wawrzyniak, Agata; Lipinska-Opalka, Agnieszka; Kalicki, Boleslaw] Mil Inst Med, Dept Pediat Nephrol & Allergol, Szaserow St 128, PL-04141 Warsaw, Poland; [Kloc, Malgorzata] Houston Methodist Res Inst, Houston, TX USA; [Kloc, Malgorzata] Univ Texas MD Anderson Canc Ctr, Houston, TX 77030 USA; [Wawrzyniak, Agata] Mil Inst Med, Dept Pediat Nephrol & Allergol, Szaserow St 128, PL-04141 Warsaw, Poland								1							Substance Abuse; Psychiatry; Psychology	WOS:000606707700001		
J	Klein, Elizabeth G.; Koopman Gonzalez, Sarah; Pike Moore, Stephanie; Bohnert, Eli J.; Quisenberry, Amanda J.; Trapl, Erika S.								Pulling Your Mask down to Smoke: Qualitative Themes from Young Adults on Nicotine Use during a Pandemic								SUBSTANCE USE & MISUSE				56	4			437	441		10.1080/10826084.2020.1869264			DEC 27 2020	2020	Introduction: The COVID-19 pandemic may have resulted in a change in life routines for tobacco users, but little is known about the rationale underlying these changes. Methods: A convenience sample of young adults ages 21-28 (n = 29) were recruited online May-July 2020 to participate in semi-structured interviews about nicotine use behaviors specific to cigarillos and e-cigarettes. Audio-recorded interviews were 60-90 min long and were conducted remotely. Participants were asked opinions and behavioral effects of the COVID-19 pandemic on tobacco use. Verbatim transcripts and field notes from each interview were coded by a trained researcher using a codebook developed using inductive and deductive approaches. Thematic analysis was used to examine product access, use frequency, stress and use triggers. Results: Most current users reported tobacco use stayed the same or increased since the pandemic and attributed this to being home more with greater time/boredom. COVID-19 impacted purchasing behaviors such as purchasing products in greater quantities, through the Internet, or at a different store due to perceived cleanliness. Few reported using tobacco products less frequently and not smoking in public due to the perception of risks associated with smoking and COVID-19, plus having to take off their mask to smoke. Lack of social use modified shared product use, flavors selected, and setting of use. Financial impacts included increased product costs and job loss. Few mentioned wanting to quit due to the pandemic. Discussion: Current tobacco users have experienced major changes in their tobacco use routines during the COVID-19 pandemic.		[Klein, Elizabeth G.; Bohnert, Eli J.] Coll Publ Hlth, 1841 Neil Ave, Columbus, OH 43210 USA; [Koopman Gonzalez, Sarah; Pike Moore, Stephanie; Trapl, Erika S.] Case Western Reserve Univ, Cleveland, OH 44106 USA; [Quisenberry, Amanda J.] Roswell Park Comprehens Canc Ctr, Div Hlth Behav & Hlth Promot, Buffalo, NY USA; [Klein, Elizabeth G.] Coll Publ Hlth, 1841 Neil Ave, Columbus, OH 43210 USA								13							Substance Abuse; Psychiatry; Psychology	WOS:000607224400001		
J	Thana-Udom, Kitikan; Siddarth, Prabha; Miller, Karen J.; Dunkin, Jennifer J.; Small, Gary W.; Ercoli, Linda M.								The Effect of Memory Training on Memory Control Beliefs in Older Adults with Subjective Memory Complaints								EXPERIMENTAL AGING RESEARCH				47	2			131	144		10.1080/0361073X.2020.1861841			MAR 15 2021	2021	Objective: To study whether memory control beliefs predict response to memory training, or change as a result of participating in memory training. Methods: Eighty community based participants with subjective memory complaints Community-based study at UCLA were randomized to one of three conditions: Memory Training, the program consisted of weekly 120-minute classes featuring instruction in three specific strategies: Method of Loci; Chunking Technique; and Face-Name Association, Health Education or Wait-List over seven weeks. All participants underwent pre- and 1-week post-intervention follow-up memory testing for recalling word lists (in serial order and any order) and face-name pairs. Memory control beliefs were assessed at baseline and follow-up using the Memory Controllability Inventory, which consists of four subscales; Present Ability; Potential Improvement; Effort Utility; and Inevitable Decrement. Results: Sixty-three participants (mean age [SD] 68.3 [6.7] years) were included in the analysis. ANCOVA revealed significant group differences in the Present Ability subscale, F-2,F-58 = 4.93, p =.01. Participants in the Memory Training group significantly improved on the Present Ability subscale compared to the Health Education group (mean difference =.96, SE =.31, p =.003, effect size = 0.93). From regression analyses, baseline Memory Controllability Inventory subscales did not significantly predict memory performance after memory training. Conclusions: Baseline memory control beliefs did not predict memory performance following the intervention, but participating in memory training enhanced memory control beliefs about current memory function. These results suggest that participating in memory training can enhance confidence in one's memory ability.		[Thana-Udom, Kitikan; Siddarth, Prabha; Miller, Karen J.; Small, Gary W.; Ercoli, Linda M.] Univ Calif Los Angeles, David Geffen Sch Med, Dept Psychiat & Biobehav Sci, Jane & Terry Semel Inst Neurosci & Human Behav, Los Angeles, CA 90095 USA; [Thana-Udom, Kitikan] Mahidol Univ, Fac Med, Siriraj Hosp, Dept Psychiat, Bangkok, Thailand; [Miller, Karen J.; Small, Gary W.; Ercoli, Linda M.] Univ Calif Los Angeles, Longev Ctr, Los Angeles, CA USA; [Dunkin, Jennifer J.] VA San Diego Healthcare Syst Psychol, San Diego, CA USA; [Ercoli, Linda M.] Univ Calif Los Angeles, David Geffen Sch Med, Semel Inst Neurosci & Human Behav, Geriatr Psychol, Los Angeles, CA 90095 USA								1							Geriatrics & Gerontology; Psychology	WOS:000603934100001		
J	Hughes, Lee R. J.; Devilly, Grant J.								A Proposal for a Taxonomy of Pre-Loading								SUBSTANCE USE & MISUSE				56	3			416	423		10.1080/10826084.2020.1869261			DEC 26 2020	2020	Background: Pre-loading of alcohol and other drugs has become a prevalent start to nights out in many countries. Studies into pre-loading have been using different operational definitions and descriptions, leading to confusion and debate in the research literature. Purpose/Objective: We wish to propose a full taxonomy so that research into preloading, of any substances, can be specific and standardized. Methods: We address this problem by analyzing (1) terminology used throughout the literature, (2) the evolving nature of this phenomenon, and (3) the operational components comprising this substance use practice. Additionally, we provide a context and rationale for how we view pre-loading in relation to the broader event-level session. Results: Our results propose a full operational definition and taxonomy of pre-loading to be used, and built upon, by researchers. We also provide a visual representation of pre-loading within an event-level session and provide a method to facilitate consistency across cultures. Conclusions: We propose that this system will lead to greater specificity and higher reliability in the interpretation of research results.		[Hughes, Lee R. J.; Devilly, Grant J.] Griffith Univ, Sch Appl Psychol, Mt Gravatt, Qld 4122, Australia; [Hughes, Lee R. J.; Devilly, Grant J.] Griffith Criminol Inst, Mt Gravatt, Qld, Australia; [Devilly, Grant J.] Griffith Univ, Sch Appl Psychol, Mt Gravatt, Qld 4122, Australia								7							Substance Abuse; Psychiatry; Psychology	WOS:000611947700001		
J	Constantino, Francisco Cervantes; Garat, Santiago; Nicolaisen-Sobesky, Eliana; Paz, Valentina; Martinez-Montes, Eduardo; Kessel, Dominique; Cabana, Alvaro; Gradin, Victoria B.								Neural processing of iterated prisoner's dilemma outcomes indicates next-round choice and speed to reciprocate cooperation; Neural processing of iterated prisoner's dilemma outcomes indicates next-round choice and speed to reciprocate cooperation								SOCIAL NEUROSCIENCE; SOCIAL NEUROSCIENCE				16	2			103	120		10.1080/17470919.2020.1859410			MAR 4 2021	2021	The iterated prisoner's dilemma (iPD) game is a well-established model for testing how people cooperate, and the neural processes that unfold after its distinct outcomes have been partly described. Recent theoretical models suggest evolution favors intuitive cooperation, which raises questions on the behavioral but also neural timelines involved. We studied the outcome/feedback stage of iPD rounds with electroencephalography (EEG) methods. Results showed that neural signals associated with this stage also relate to future choice, in an outcome-dependent manner: (i) after zero-gain "sucker's payoffs" (unreciprocated cooperation), a participant's decision thereafter relates to changes to the feedback-related negativity (FRN); (ii) after one-sided non-cooperation (participant wins at co-player's expense), by the P3; (iii) after mutual cooperation, by late frontal delta-band modulations. Critically, faster reciprocation behavior towards a co-player's choice to cooperate was predicted, on a single-trial basis, by players' P3 and frontal delta modulations at the immediately preceding trial. Delta-band signaling is discussed in relation to homeostatic regulation processing in the literature. The findings relate the early outcome/feedback stage to subsequent decisional processes in the iPD, providing a first neural account of the brief timelines implied in heuristic modes of cooperation.		[Constantino, Francisco Cervantes; Garat, Santiago; Nicolaisen-Sobesky, Eliana; Paz, Valentina; Cabana, Alvaro; Gradin, Victoria B.] Univ Republica, Fac Psychol, Montevideo, Uruguay; [Martinez-Montes, Eduardo] Univ Autonoma Madrid, Cuban Ctr Neurosci, Neuroinformat Dept, Madrid, Spain; [Kessel, Dominique] Univ Autonoma Madrid, Fac Psychol, Madrid, Spain; [Constantino, Francisco Cervantes] Univ Republica, Fac Psicol, Ctr Invest Basica Psicol, Montevideo 11200, Uruguay								1							Neurosciences; Psychology	WOS:000601394000001		
J	Ramer, Nolan E.; Read, Jennifer P.; Colder, Craig R.								Parents' Cannabis-Related Attitudes and Emerging Adult Offspring Cannabis Use: Testing the Mediating Effect of Perceived Parental Approval								SUBSTANCE USE & MISUSE				56	2			308	317		10.1080/10826084.2020.1868004			DEC 25 2020	2020	Background: Contrary to parental alcohol use and expectancies work, little is known about how parent's cannabis use (CU) and expectancies influence offspring CU. This is a notable gap in the literature given increasing acceptability and use of cannabis, especially among emerging adults (EA). Moreover, limited work has tested mechanisms of transmission of risk from these parent factors. This study addresses these gaps by testing prospective associations of parental CU and expectancies with offspring CU and CU problems, and perceived parental approval of offspring CU as a potential mediator. Method: A community sample of 314 EA and caregiver dyads completed three annual assessments (mean age = 19.13). The sample was 54% female and majority White/non-Hispanic (76%). Caregivers reported on their cannabis expectancies and use, and EA reported on their CU, CU-related problems, and perceived parental approval of CU. Results: Longitudinal structural equation modeling supported a mediated pathway such that high parental positive cannabis expectancies were associated with perceived parental approval of CU, which in turn, predicted increases in EA CU and CU problems. Parental negative expectancies had a significant indirect effect but in the opposite direction. Indirect effects were found above and beyond parental CU, which was not associated with offspring CU. Conclusions: This is the first study to test prospective indirect effects of parental cannabis expectancies on offspring CU. Findings suggest parents' attitudes, even in the absence of parental use, confer risk for offspring use by shaping perceived acceptance of CU, suggesting parental expectancies as targets for parent-based CU interventions.		[Ramer, Nolan E.; Read, Jennifer P.; Colder, Craig R.] SUNY Buffalo, Dept Psychol, 359 Pk Hall, Buffalo, NY 14260 USA; [Ramer, Nolan E.] SUNY Buffalo, Dept Psychol, 359 Pk Hall, Buffalo, NY 14260 USA								1							Substance Abuse; Psychiatry; Psychology	WOS:000606677100001		
J	Dierker, Lisa C.; Selya, Arielle S.								Alcohol Use Disorder Symptoms Rather than Alcohol Exposure Predict Experiences of Cannabis Use Disorder Symptoms among Adolescents and Young Adults								SUBSTANCE USE & MISUSE				56	3			431	435		10.1080/10826084.2020.1869262			DEC 25 2020	2020	Background: Alcohol and cannabis use are highly comorbid. Objective: We evaluate if alcohol use and/or alcohol use disorder symptoms predict experiences of cannabis use disorder symptoms among adolescents and young adults and whether the relationships differ based on frequency of cannabis use, recency of cannabis initiation and age. Method: Data were drawn from five annual surveys of the National Survey on Drug Use and Health (2014-2018) to include adolescents and young adults (age 12 to 21 years) who reported using cannabis and alcohol at least once in the past 30 days. Results: Number of alcohol use disorder symptoms, over and above alcohol quantity or frequency, was positively associated with each of the cannabis use disorder symptoms as well as the total number of cannabis use disorder symptoms endorsed. The association between alcohol and cannabis use disorder symptoms was stronger among those who were younger and those who initiated cannabis use within the past 2 years. Conclusions: Treatment should consider these and other cross-over effects of substance disorder symptoms when addressing risk for chronic and dependent use.		[Dierker, Lisa C.] Wesleyan Univ, Dept Psychol, Judd Hall, Middletown, CT 06459 USA; [Selya, Arielle S.] Sanford Res, Behav Sci Grp, Sioux Falls, SD USA; [Selya, Arielle S.] Pinney Associates Inc, Pittsburgh, PA USA; [Dierker, Lisa C.] Wesleyan Univ, Dept Psychol, Judd Hall, Middletown, CT 06459 USA								0							Substance Abuse; Psychiatry; Psychology	WOS:000606868500001		
J	Ellis, Robyn A.; Awada, Samantha R.; Orcutt, Holly K.; Shelleby, Elizabeth C.								Childhood Maltreatment and Risky Substance Use Behaviors: The Mediating Roles of Posttraumatic Stress Symptoms & Callous Unemotional Traits								SUBSTANCE USE & MISUSE				56	3			388	395		10.1080/10826084.2020.1868519			DEC 25 2020	2020	Background: A robust relationship has been established between childhood maltreatment and risky substance use. Posttraumatic stress symptoms and callous-unemotional (CU) traits, both of which can be consequences of childhood maltreatment, have been implicated as potential mediators of this relationship, but despite phenotypic overlap have not been examined within the same model. Objective: The current cross-sectional study examined the indirect effect of childhood maltreatment severity on risky drug and alcohol use behaviors though PTSS and CU traits. Methods: Undergraduates (n = 355, 54.4% female) with childhood maltreatment histories completed questionnaires regarding childhood maltreatment, PTSS, substance use behaviors, and CU traits. Path modeling was utilized to examine indirect effects of childhood maltreatment on risky alcohol and drug use behaviors. Results: Overall the model demonstrated good fit. PTSS and CU traits were found to fully mediate the childhood maltreatment severity to risky alcohol use behaviors, with PTSS demonstrating a trending mediational effect to risky drug usage. Results support multiple pathways to risky alcohol use for individuals with childhood maltreatment histories through PTSS and CU traits, suggesting both PTSS as well as CU traits as potential targets of intervention for alcohol misuse among individuals with childhood maltreatment experiences.		[Ellis, Robyn A.; Awada, Samantha R.; Orcutt, Holly K.; Shelleby, Elizabeth C.] Northern Illinois Univ, Psychol Dept, De Kalb, IL 60115 USA; [Ellis, Robyn A.] Northern Illinois Univ, Psychol Dept, De Kalb, IL 60115 USA								0							Substance Abuse; Psychiatry; Psychology	WOS:000607534200001		
