link,title,authors,journal,publication_year,id
10.1016/j.jaac.2019.08.473,Homophobic Bullying and Suicidal Behavior Among US Heterosexual Youth,"Parent, Mike C.; Johnson, Karen E.; Russell, Stephen; Gobble, Teresa",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,1
10.1016/j.jaac.2020.07.751,NONADHERENCE WITH MENTAL HEALTH TREATMENT AND METABOLIC MONITORING IN YOUTH TREATED WITH SECOND-GENERATION ANTIPSYCHOTICS,"Fornari, Victor",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,2
10.1111/cdev.13409,Explaining Individual Differences in Trajectories of Simultaneous Bilingual Development: Contributions of Child and Environmental Factors,"Lauro, Justin; Core, Cynthia; Hoff, Erika",CHILD DEVELOPMENT,2020,3
10.1007/s00787-020-01510-x,"The forest, the trees, and the leaves in preterm children: the impact of prematurity on a visual search task containing three-level hierarchical stimuli","Datin-Dorriere, Valerie; Borst, Gregoire; Guillois, Bernard; Cachia, Arnaud; Poirel, Nicolas",EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,2021,4
10.1016/j.chb.2020.106478,"How the use of Cc, Bcc, forward, and rewrite in email communication impacts team dynamics","Haesevoets, Tessa; De Cremer, David; McGuire, Jack",COMPUTERS IN HUMAN BEHAVIOR,2020,5
10.1017/S0033291719000874,"Maternal half-sibling families with discordant fathers: a contrastive design assessing cross-generational paternal genetic transmission of alcohol use disorder, drug abuse and major depression","Kendler, Kenneth S.; Ohlsson, Henrik; Sundquist, Jan; Sundquist, Kristina",PSYCHOLOGICAL MEDICINE,2020,6
10.1007/s11469-018-9934-4,The Methamphetamine-Associated Psychosis Spectrum: a Clinically Focused Review,"Arunogiri, Shalini; McKetin, Rebecca; Verdejo-Garcia, Antonio; Lubman, Dan I.",INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,2020,7
10.1111/apps.12187,"The Interplay of Low Identification, Psychological Detachment, and Cynicism for Predicting Counterproductive Work Behaviour","Tong, Jiajin; Chong, SinHui; Chen, Jiayu; Johnson, Russell E.; Ren, Xiaopeng",APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,2020,8
10.1016/j.chb.2020.106473,Using virtual reality to induce gratitude through virtual social interaction,"Collange, Julie; Guegan, Jerome",COMPUTERS IN HUMAN BEHAVIOR,2020,9
10.1177/1362361320913664,Interventions to address health outcomes among autistic adults: A systematic review,"Benevides, Teal W.; Shore, Stephen M.; Andresen, May-Lynn; Caplan, Reid; Cook, Barb; Gassner, Dena L.; Erves, Jasmine M.; Hazlewood, Taylor M.; King, M. Caroline; Morgan, Lisa; Murphy, Lauren E.; Purkis, Yenn; Rankowski, Brigid; Rutledge, Sarah M.; Welch, Savannah P.; Wittig, Karl",AUTISM,2020,10
10.1038/s41562-020-00936-2,A general dimension of genetic sharing across diverse cognitive traits inferred from molecular data,"de la Fuente, Javier; Davies, Gail; Grotzinger, Andrew D.; Tucker-Drob, Elliot M.; Deary, Ian J.",NATURE HUMAN BEHAVIOUR,2021,11
10.1177/1948550619893956,When the Dark Shines: The Role of Dark Personality Traits in Leadership Role Occupancy and Hiring Decisions in a Collectivistic Culture,"Nuzulia, Siti; Why, Felix Yong Peng",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,2020,12
10.1037/ocp0000160,What Free Time? A Daily Study of Work Recovery and Well-Being Among Working Students,"Taylor, William Demar; Snyder, Lori Anderson; Lin, Li",JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,2020,13
10.1037/pspi0000215,The Social Costs of Forgiving Following Multiple-Victim Transgressions,"Raj, Medha; Wiltermuth, Scott S.; Adams, Gabrielle S.",JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,2020,14
10.1177/0022146520967660,Neighborhood Disorder and Distress in Real Time: Evidence from a Smartphone-Based Study of Older Adults,"York Cornwell, Erin; Goldman, Alyssa W.",JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,2020,15
10.1111/bjso.12376,Three strategies for doing narrative resistance: Navigating between master narratives,"Hochman, Yael; Spector-Mersel, Gabriela",BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,2020,16
10.1002/da.22999,Dose-response patterns in low and high intensity cognitive behavioral therapy for common mental health problems,"Robinson, Louisa; Kellett, Stephen; Delgadillo, Jaime",DEPRESSION AND ANXIETY,2020,17
