link,title,authors,journal,publication_year,id
NA,Do the Costs of AUD-Related Health and Social Care Services Vary Across Patient Profiles?,"Rautiainen, Elina; Linna, Miika; Ryynanen, Olli-Pekka; Laatikainen, Tuna",JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,2020,1
10.1002/dys.1641,Dyslexic children need more robust information to resolve conflicting sensory situations,"Razuk, Milena; Lukasova, Katerina; Bucci, Maria Pia; Barela, Jose A.",DYSLEXIA,2020,2
10.1162/jocn_a_01371,Saliency-based Rhythmic Coordination of Perceptual Predictions,"Huang, Qiaoli; Luo, Huan",JOURNAL OF COGNITIVE NEUROSCIENCE,2020,3
10.1080/15388220.2020.1728285,In the Eye of the Reformer: Higher Education Personnel Perspectives on Campus Sexual Assault Policy Implementation,"Moylan, Carrie A.; Hammock, Amy; Carlson, Melanie L.",JOURNAL OF SCHOOL VIOLENCE,2020,4
10.1111/ijsa.12309,Older workers and poor performance: Examining the association of age stereotypes with expected work performance quality,"Petery, Gretchen A.; Wee, Serena; Dunlop, Patrick D.; Parker, Sharon K.",INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,2020,5
10.1007/s10826-020-01772-8,Racial and Ethnic Comparison of Ecological Risk Factors and Youth Outcomes: A Test of the Desensitization Hypothesis,"Chen, Pan; Voisin, Dexter R.; Marotta, Phillip L.; Jacobson, Kristen C.",JOURNAL OF CHILD AND FAMILY STUDIES,2020,6
10.1080/02134748.2020.1783836,Acculturation and adaptation of adolescents with immigrant backgrounds in Spain: psychosocial profiles of latent classes (Aculturacion y adaptacion de adolescentes de origen inmigrante en Espana: perfiles psicosociales de clases latentes),"Sanchez-Castello, Maria; Navas, Marisol; Ordonez-Carrasco, Jorge L.; Rojas, Antonio J.",INTERNATIONAL JOURNAL OF SOCIAL PSYCHOLOGY,2020,7
10.1080/09602011.2018.1464475,Screening for confabulations with the confabulation screen,"Dalla Barba, Gianfranco; Brazzarola, Marta; Marangoni, Sara; La Corte, Valentina",NEUROPSYCHOLOGICAL REHABILITATION,2020,8
10.1002/pon.5408,Indian patient use of cancer euphemisms: Association with psychological outcomes and health behaviours,"Epton, Tracy; Chittem, Mahati; Tanikella, Ravali; Rajappa, Senthil; Sinha, Sudha; Harris, Peter R.",PSYCHO-ONCOLOGY,2020,9
10.1080/13811118.2020.1811182,Implicit Associations of Nonsuicidal Self-Injury with Relief in Posttraumatic Stress and Depressive Disorders,"Forbes, Courtney N.; Tull, Matthew T.; Chapman, Alexander L.; Dixon-Gordon, Katherine L.; Gratz, Kim L.",ARCHIVES OF SUICIDE RESEARCH,2022,10
10.1080/14616734.2020.1722717,Changing developmental trajectory in high-risk families: the effectiveness of an attachment-informed Therapeutic Nursery Program (TNP) for preschool children with complex emotional and behavioral problems,"Ziv, Yair; Capps Umphlet, Kristen L.; Sofri, Inbar; Olarte, Stephanie; Venza, Jimmy",ATTACHMENT & HUMAN DEVELOPMENT,2021,11
10.1177/0272431619847523,School Relations and Solitude in Early Adolescence: A Mediation Model Involving Rejection Sensitivity,"Molinari, Luisa; Grazia, Valentina; Corsano, Paola",JOURNAL OF EARLY ADOLESCENCE,2020,12
10.1016/j.jenvp.2020.101388,"Reducing, and bridging, the psychological distance of climate change","Loy, Laura S.; Spence, Alexa",JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,2020,13
10.1016/j.amp.2019.06.007,A madwoman of God: Holy Catherine of Siena or the passion for the blood of Christ,"Benezech, Michel",ANNALES MEDICO-PSYCHOLOGIQUES,2020,14
10.1016/j.cortex.2020.01.006,A graph theory study of resting-state functional connectivity in children with Tourette syndrome,"Openneer, Thaira J. C.; Marsman, Jan-Bernard C.; van der Meer, Dennis; Forde, Natalie J.; Akkermans, Sophie E. A.; Naaijen, Jilly; Buitelaar, Jan K.; Dietrich, Andrea; Hoekstra, Pieter J.",CORTEX,2020,15
10.14195/1647-8606_63-2_7,The Interpersonal Mindfulness in Parenting Scale - Infant version: Psychometric properties and factor structure in a sample of Portuguese mothers in the postpartum period,"Caiado, Brigida; Fernandes, Daniela Ventura; Canavarro, Maria Cristina; Moreira, Helena",PSYCHOLOGICA,2020,16
10.1007/s00357-019-09358-w,Lorenz Model Selection,"Giudici, Paolo; Raffinetti, Emanuela",JOURNAL OF CLASSIFICATION,2020,17
10.1080/13632752.2020.1733309,Behind the SCREEN: identifying school refusal themes and sub-themes,"Galle-Tessoneau, Marie; Heyne, David",EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,2020,18
10.3389/fpsyg.2020.596501,Assessing Psychometric Properties of the Italian Version of the Heartland Forgiveness Scale,"Consoli, Simone; Rossi, Alessandro; Thompson, Laura Y.; Volpi, Clarissa; Mannarini, Stefania; Castelnuovo, Gianluca; Molinari, Enrico",FRONTIERS IN PSYCHOLOGY,2020,19
10.1002/capr.12248,"A definite feel-it moment: Embodiment, externalisation and emotion during chair-work in compassion-focused therapy","Bell, Tobyn; Montague, Jane; Elander, James; Gilbert, Paul",COUNSELLING & PSYCHOTHERAPY RESEARCH,2020,20
10.5093/pi2020a1,"Controlling Behaviors in Couple Relationships in the Digital Age: Acceptability of Gender Violence, Sexism, and Myths about Romantic Love","Dolores Sanchez-Hernandez, M.; Carmen Herrera-Enriquez, Mari; Exposito, Francisca",PSYCHOSOCIAL INTERVENTION,2020,21
10.1080/00223980.2020.1794708,'Raising' Psychologists-to-Be: An Introduction to the Special Issue,"Rokach, Ami",JOURNAL OF PSYCHOLOGY,2020,22
10.1007/s11336-020-09704-7,A Note on Exploratory Item Factor Analysis by Singular Value Decomposition,"Zhang, Haoran; Chen, Yunxiao; Li, Xiaoou",PSYCHOMETRIKA,2020,23
10.1016/j.ijintrel.2019.11.005,What does it mean to be American? Perceptions of national identity amongst adults and children,"Violante, Amy E.; Cain, Kathleen M.; Mukherjee, Sahana",INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,2020,24
10.3389/fpsyg.2019.03008,To Link or Not to Link: Clause Chaining in Japanese Narratives,"Clancy, Patricia M.",FRONTIERS IN PSYCHOLOGY,2020,25
10.1002/jocb.467,Measuring Creative Writing with the Storyboard Task: The Role of Effort and Story Length,"Taylor, Christa L.; Kaufman, James C.; Barbot, Baptiste",JOURNAL OF CREATIVE BEHAVIOR,2021,26
10.4088/JCP.19m13077,Types of Adult Attention-Deficit/Hyperactivity Disorder: A Replication Analysis,"Reimherr, Frederick W.; Roesler, Michael; Marchant, Barrie K.; Gift, Thomas E.; Retz, Wolfgang; Philipp-Wiegmann, Florence; Reimherr, Matthew L.",JOURNAL OF CLINICAL PSYCHIATRY,2020,27
10.1002/rrq.317,Effects of Online Content-Focused Coaching on Discussion Quality and Reading Achievement: Building Theory for How Coaching Develops Teachers' Adaptive Expertise,"Correnti, Richard; Matsumura, Lindsay Clare; Walsh, Marguerite; Zook-Howell, Dena; Bickel, Donna DiPrima; Yu, Baeksan",READING RESEARCH QUARTERLY,2021,28
10.1177/1368430220929078,Lay theory of generalized prejudice moderates cardiovascular stress responses to racism for White women,"Chaney, Kimberly E.; Sanchez, Diana T.; Himmelstein, Mary S.; Manuel, Sara K.",GROUP PROCESSES & INTERGROUP RELATIONS,2021,29
10.1111/1467-6427.12252,Family of origin scripts in coping with adversity: a question(sic)(sic)(sic)Palabras clave,"Mason, Barry",JOURNAL OF FAMILY THERAPY,2020,30
10.1111/jopy.12592,Change in mental health symptoms during the COVID-19 pandemic: The role of appraisals and daily life experiences,"Brose, Annette; Blanke, Elisabeth S.; Schmiedek, Florian; Kramer, Andrea C.; Schmidt, Andrea; Neubauer, Andreas B.",JOURNAL OF PERSONALITY,2021,31
10.1080/17405629.2019.1700108,Birth rank as a determinant of academic achievement:results from a European survey of primary school children,"Arshad, Husnain; Husky, Mathilde M.; Goelitz, Dietmar; Bitfoi, Adina; Carta, Mauro Giovanni; Koc, Ceren; Lesinskiene, Sigita; Mihova, Zlatka; Otten, Roy; Fermanian, Christophe; Kovess-Masfety, Viviane",EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,2020,32
10.1016/j.jbtep.2019.101512,Disrupted joint action accounts for reduced likability of socially anxious individuals,"Gunak, Mia Maria; Clark, David M.; Lommen, Miriam J. J.",JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,2020,33
10.1007/s12144-020-00905-y,"How to maintain a marriage: Maintenance behaviors, equity, and appreciation in understanding marital satisfaction(+)","Kayabol, Nazli Busra Akcabozan; Sumer, Zeynep Hatipoglu",CURRENT PSYCHOLOGY,2022,34
10.3280/PU2020-004008,"Introduction to ""A country psychiatrist"" by Margherita Galeotti","Herini, Alberto",PSICOTERAPIA E SCIENZE UMANE,2020,35
10.1111/psyp.13744,Which digit is larger? Brain responses to number and size interactions in a numerical Stroop task,"Huang, Hsu-Wen; Nascimben, Mauro; Wang, Ya-Yi; Fong, Dong-Yang; Tzeng, Ovid J-L; Huang, Chih-Mao",PSYCHOPHYSIOLOGY,2021,36
NA,"Motivational profiles, volitional strategies and academic performance in exact and experimental sciences in high school","Rodriguez Guardado, Maria del Socorro; Gaeta Gonzalez, Martha Leticia",ELECTRONIC JOURNAL OF RESEARCH IN EDUCATIONAL PSYCHOLOGY,2020,37
10.15332/22563067.6297,Post-Traumatic Stress as a Precursor of Mental Health Damage and Cognitive Impairment in Victims of Violence,"Merchan, Edna Johanna Herrera; Betancur, Dora Cristina Canas",DIVERSITAS-PERSPECTIVAS EN PSICOLOGIA,2020,38
10.1111/emip.12373,Assessment in the Service of Student Learning: Three Cases in Point,"Bond, Lloyd",EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE,2020,39
10.1080/00332828.2020.1807270,Commentary,"Jacobs, Theodore",PSYCHOANALYTIC QUARTERLY,2020,40
10.5709/acp-0303-x,Predicting Individuals' Experienced Fear From Multimodal Physiological Responses to a Fear-Inducing Stimulus,"Jang, Eun-Hye; Byun, Sangwon; Park, Mi-Sook; Sohn, Jin-Hun",ADVANCES IN COGNITIVE PSYCHOLOGY,2020,41
10.1002/jeab.654,Human social defeat and approach-avoidance: Escalating social-evaluative threat and threat of aggression increases social avoidance,"Schlund, Michael W.; Carter, Hannah; Cudd, Gloria; Murphy, Katie; Ahmed, Nebil; Dymond, Simon; Tone, Erin B.",JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,2021,42
NA,Does Drinking Within Low-Risk Guidelines Prevent Harm? Implications for High-Income Countries Using the International Model of Alcohol Harms and Policies,"Sherk, Adam; Thomas, Gerald; Churchill, Samuel; Stockwell, Tim",JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,2020,43
10.1016/j.trf.2020.04.012,Cyclists' intentions to yield for automated cars at intersections when they have right of way: Results of an experiment using high-quality video animations,"Vlakveld, Willem; van der Kint, Sander; Hagenzieker, Marjan P.",TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,2020,44
10.1007/s12671-019-01280-x,Introducing the eMCC (TM): A Validated Taxonomy to Advance Targeted Application of Mindfulness Skills,"Wolever, Ruth Q.; Kahn, Joel A.; Davis, Jennifer; Shields, Denise; Schoenberg, Poppy L. A.",MINDFULNESS,2020,45
10.3389/fpsyg.2020.571873,Perceived Stress and Daily Well-Being During the COVID-19 Outbreak: The Moderating Role of Age,"Jiang, Da",FRONTIERS IN PSYCHOLOGY,2020,46
10.1177/0030222817737229,Widowhood in the Israeli Arab Muslim Society,"Yasien-Esmael, Hend; Rubin, Simon Shimshon; Eshel, Yohanan",OMEGA-JOURNAL OF DEATH AND DYING,2020,47
10.1080/21520704.2020.1850577,Deliberate Practice: What Is It and How Can I Use It?,"Eccles, David W.; Leone, Emma J.; Williams, A. Mark",JOURNAL OF SPORT PSYCHOLOGY IN ACTION,2022,48
10.36482/1809-5267.ARBP2020v72i1p.88-104,Homeless people: mapping an existential territory,"Cavagnoli, Murilo; Moterle, Raica; Moro, Eduarda",ARQUIVOS BRASILEROS DE PSICOLOGIA,2020,49
10.1080/10409289.2020.1849896,Teacher-Level Predictors of the Fidelity of Implementation of a Social-Emotional Learning Curriculum,"Thierry, Karen L.; Vincent, Rhonda L.; Norris, Karen",EARLY EDUCATION AND DEVELOPMENT,2022,50
10.5093/apj2019a19,Feigning mobbing in the LIPT-60: Implications for forensic psychological assessment,"Vilarino, Manuel; Amado, Barbara G.; Martin-Pena, Javier; Jose Vazquez, M.",ANUARIO DE PSICOLOGIA JURIDICA,2020,51
10.1017/SJP.2020.4,Functioning of Cognitive Memory Inhibition Processes in People with Down Syndrome: An Empirical Study,"Palomino, Elena; Sotillo, Maria; Lopez-Frutos, Jose Maria",SPANISH JOURNAL OF PSYCHOLOGY,2020,52
10.3389/fpsyg.2020.568439,"Exploring the Relationship Between Parental Involvement, Paper Folding Skills, and Early Spatial Ability: A Mediation Model","Wu, Dandan; Sun, Jin",FRONTIERS IN PSYCHOLOGY,2020,53
NA,Psychology in the prevention and management of COVID-19. Contributions from the initial evidence,"Urzua, Alfonso; Vera-Villarroel, Pablo; Caqueo-Urizar, Alejandra; Polanco-Carrasco, Roberto",TERAPIA PSICOLOGICA,2020,54
10.1016/j.chiabu.2019.104321,Introduction to the special issue of Child Abuse and Neglect: Global child trafficking and health,"Greenbaum, Jordan; Albright, Karen; Tsai, Carmelle",CHILD ABUSE & NEGLECT,2020,55
