Journal,ISSN,eISSN,Web of Science Categories,WOS_first_psych_category
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,0264-6838,1469-672X,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COGNITIVE SCIENCE,0364-0213,1551-6709,"Psychology, Experimental","Psychology, Experimental"
SUICIDOLOGY ONLINE-SOL,2078-5488,2078-5488,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF CHILD AND ADOLESCENT MENTAL HEALTH,1728-0583,1728-0591,"Psychology, Clinical","Psychology, Clinical"
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,"Substance Abuse | Psychology, Clinical","Psychology, Clinical"
REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,1886-8576,2340-7700,"Psychology, Applied","Psychology, Applied"
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,1532-7957,"Psychology, Social","Psychology, Social"
GEROPSYCH-THE JOURNAL OF GERONTOPSYCHOLOGY AND GERIATRIC PSYCHIATRY,1662-9647,1662-971X,"Psychology, Development","Psychology, Development"
PSYCHOLOGICAL INJURY & LAW,1938-971X,1938-9728,"Psychology, Clinical","Psychology, Clinical"
CHILD DEVELOPMENT PERSPECTIVES,1750-8592,1750-8606,"Psychology, Development","Psychology, Development"
COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,1752-1882,1752-1890,"Psychology, Applied","Psychology, Applied"
EATING BEHAVIORS,1471-0153,1873-7358,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
MEMORY & COGNITION,0090-502X,1532-5946,"Psychology, Experimental","Psychology, Experimental"
CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,1359-1045,1461-7021,Psychiatry | Psychology,Psychology
NORDIC PSYCHOLOGY,1901-2276,1904-0016,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,1864-1105,2151-2388,"Communication | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
INFANTS & YOUNG CHILDREN,0896-3746,1550-5081,"Education, Special | Psychology, Development | Rehabilitation","Psychology, Development"
CAREER DEVELOPMENT INTERNATIONAL,1362-0436,1758-6003,"Psychology, Applied | Management","Psychology, Applied"
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1369-8478,1873-5517,"Psychology, Applied | Transportation","Psychology, Applied"
BMC PSYCHOLOGY,NA,2050-7283,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,1090-0578,1573-6652,"Social Sciences, Mathematical Methods | Psychology, Mathematical","Psychology, Mathematical"
JOURNAL OF HEALTH PSYCHOLOGY,1359-1053,1461-7277,"Psychology, Clinical","Psychology, Clinical"
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,1878-5476,Psychology | Sport Sciences,Psychology | Sport
ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,1948-1985,1948-1993,"Ethnic Studies | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COGNITION AND INSTRUCTION,0737-0008,1532-690X,"Psychology, Educational | Psychology, Experimental","Psychology, Educational"
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,0022-006X,1939-2117,"Psychology, Clinical","Psychology, Clinical"
CAREER DEVELOPMENT QUARTERLY,0889-4019,2161-0045,"Psychology, Applied","Psychology, Applied"
VISUAL COGNITION,1350-6285,1464-0716,"Psychology, Experimental","Psychology, Experimental"
ANALES DE PSICOLOGIA,0212-9728,1695-2294,Psychology,Psychology
CHILD ABUSE & NEGLECT,0145-2134,1873-7757,"Family Studies | Psychology, Social | Social Work","Psychology, Social"
INFANCY,1525-0008,1532-7078,"Psychology, Development","Psychology, Development"
SPATIAL COGNITION AND COMPUTATION,1387-5868,1542-7633,"Psychology, Experimental","Psychology, Experimental"
PSIHOLOGIJA,0048-5705,1451-9283,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,"Psychology, Mathematical | Psychology, Experimental","Psychology, Mathematical"
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,0932-4089,2190-6270,"Psychology, Applied","Psychology, Applied"
STUDIES IN PSYCHOLOGY,0210-9395,1579-3699,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
DEVIANT BEHAVIOR,0163-9625,1521-0456,"Criminology & Penology | Psychology, Social | Sociology","Psychology, Social"
