article id,primary coder initials,secondary coder initials,doi,link,title,authors,journal,publication_year,1_exclusion,1_exclusionReason,1_Is article linked to PPC,1_Additional notes,2_exclusion,2_exclusionReason,2_Is article linked to PPC,2_Additional notes,sample_id,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30
1,AW,TEH,NA,https://dx.doi.org/NA,Do the Costs of AUD-Related Health and Social Care Services Vary Across Patient Profiles?,"Rautiainen, Elina; Linna, Miika; Ryynanen, Olli-Pekka; Laatikainen, Tuna",JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,2020,EXCLUDE,NO ACCESS,NA,"Despite OpenAthens/Shibboleth permission, UoM not listed as having institutional access.",EXCLUDE,NO ACCESS,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AW,TEH,10.1002/dys.1641,https://dx.doi.org/10.1002/dys.1641,Dyslexic children need more robust information to resolve conflicting sensory situations,"Razuk, Milena; Lukasova, Katerina; Bucci, Maria Pia; Barela, Jose A.",DYSLEXIA,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,AW,TEH,10.1162/jocn_a_01371,https://dx.doi.org/10.1162/jocn_a_01371,Saliency-based Rhythmic Coordination of Perceptual Predictions,"Huang, Qiaoli; Luo, Huan",JOURNAL OF COGNITIVE NEUROSCIENCE,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,AW,TEH,10.1080/15388220.2020.1728285,https://dx.doi.org/10.1080/15388220.2020.1728285,In the Eye of the Reformer: Higher Education Personnel Perspectives on Campus Sexual Assault Policy Implementation,"Moylan, Carrie A.; Hammock, Amy; Carlson, Melanie L.",JOURNAL OF SCHOOL VIOLENCE,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,AW,TEH,10.1111/ijsa.12309,https://dx.doi.org/10.1111/ijsa.12309,Older workers and poor performance: Examining the association of age stereotypes with expected work performance quality,"Petery, Gretchen A.; Wee, Serena; Dunlop, Patrick D.; Parker, Sharon K.",INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,AW,TEH,10.1007/s10826-020-01772-8,https://dx.doi.org/10.1007/s10826-020-01772-8,Racial and Ethnic Comparison of Ecological Risk Factors and Youth Outcomes: A Test of the Desensitization Hypothesis,"Chen, Pan; Voisin, Dexter R.; Marotta, Phillip L.; Jacobson, Kristen C.",JOURNAL OF CHILD AND FAMILY STUDIES,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,AW,TEH,10.1080/02134748.2020.1783836,https://dx.doi.org/10.1080/02134748.2020.1783836,Acculturation and adaptation of adolescents with immigrant backgrounds in Spain: psychosocial profiles of latent classes (Aculturacion y adaptacion de adolescentes de origen inmigrante en Espana: perfiles psicosociales de clases latentes),"Sanchez-Castello, Maria; Navas, Marisol; Ordonez-Carrasco, Jorge L.; Rojas, Antonio J.",INTERNATIONAL JOURNAL OF SOCIAL PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,AW,TEH,10.1080/09602011.2018.1464475,https://dx.doi.org/10.1080/09602011.2018.1464475,Screening for confabulations with the confabulation screen,"Dalla Barba, Gianfranco; Brazzarola, Marta; Marangoni, Sara; La Corte, Valentina",NEUROPSYCHOLOGICAL REHABILITATION,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,AW,TEH,10.1002/pon.5408,https://dx.doi.org/10.1002/pon.5408,Indian patient use of cancer euphemisms: Association with psychological outcomes and health behaviours,"Epton, Tracy; Chittem, Mahati; Tanikella, Ravali; Rajappa, Senthil; Sinha, Sudha; Harris, Peter R.",PSYCHO-ONCOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,AW,TEH,10.1080/13811118.2020.1811182,https://dx.doi.org/10.1080/13811118.2020.1811182,Implicit Associations of Nonsuicidal Self-Injury with Relief in Posttraumatic Stress and Depressive Disorders,"Forbes, Courtney N.; Tull, Matthew T.; Chapman, Alexander L.; Dixon-Gordon, Katherine L.; Gratz, Kim L.",ARCHIVES OF SUICIDE RESEARCH,2022,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,AW,TEH,10.1080/14616734.2020.1722717,https://dx.doi.org/10.1080/14616734.2020.1722717,Changing developmental trajectory in high-risk families: the effectiveness of an attachment-informed Therapeutic Nursery Program (TNP) for preschool children with complex emotional and behavioral problems,"Ziv, Yair; Capps Umphlet, Kristen L.; Sofri, Inbar; Olarte, Stephanie; Venza, Jimmy",ATTACHMENT & HUMAN DEVELOPMENT,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
