"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,7/13/2023 12:30:14,AW,ACTA PSYCHOLOGICA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.984
NA,7/28/2023 12:00:34,TEH,ACTA PSYCHOLOGICA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.984
NA,NA,FINAL (TEH),ACTA PSYCHOLOGICA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.984
Only found through archive search,7/13/2023 14:55:31,AW,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,Yes,YES,Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Only 1 recent (2019) apparent PPC example found during archive search: https://doi.org/10.1007/s40750-018-0106-3,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Biological",NA
They only mention different article types in a the submission guidelines section on Non-financial interests.,8/4/2023 7:49:08,RTT,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,Yes,YES,comments,[none provided],NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Biological",NA
NA,NA,FINAL (TEH),ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,Yes,YES,Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Only 1 recent (2019) apparent PPC example found during archive search: https://doi.org/10.1007/s40750-018-0106-3,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Biological",NA
NA,6/30/2023 18:41:18,NM,ADDICTIVE BEHAVIORS,Yes,YES,Scholarly Commentaries,Scholarly Commentaries express points of view on scientific matters and should not exceed 800 words. Authors should email the Editor-in-Chief prior to submitting this type of paper.,"YES (copy and paste the limits in the 'other' section below), should not exceed 800 words",NOT STATED,NOT STATED,"UNCLEAR (provide detail in the 'other' section below), Papers are ""typically sent to a minimum of two independent expert reviewers to assess the scientific quality of the paper"", but it is unclear whether this applies to all manuscripts or just empirical research.",NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",4.591
"The closest article type, which I judged to be not PPC, is: ""•Scholarly Commentaries express points of view on scientific matters and should not exceed 800
words. Authors should email the Editor-in-Chief prior to submitting this type of paper.""",8/8/2023 13:53:55,SV,ADDICTIVE BEHAVIORS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",4.591
"The closest article type, which I judged to be not PPC, is: ""•Scholarly Commentaries express points of view on scientific matters and should not exceed 800
words. Authors should email the Editor-in-Chief prior to submitting this type of paper.""",NA,FINAL (TEH),ADDICTIVE BEHAVIORS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",4.591
NA,7/13/2023 15:07:06,AW,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,Yes,YES,Commentary,"A Commentary is an invited submission for a Special Issue/Section of the journal, or a submission in response to an article previously published in the journal. When submitted in response to a published article, a Commentary should include a title, abstract, and keywords, and be limited to no more than 2,000 words and up to ten references (about 8-10 pages INCLUSIVE). Commentaries of articles previously published in the journal may be accompanied by an invited response from the author(s) of the original article. AJCP welcomes commentaries on work published in the journal; readers interested in submitting a Commentary should contact the Editor.","YES (copy and paste the limits in the 'other' section below), 2000 words",NOT STATED,"YES (provide number of references below), 10",NOT STATED,Unclear from description wording whether word limit includes references?,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",4.019
