"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, SOCIAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW","PERS SOC PSYCHOL REV","1088-8683","1532-7957","PSYCHOLOGY, SOCIAL - SSCI","9,843","16.161","Q1","3.92","15.91"%,
"Social Issues and Policy Review","SOC ISS POLICY REV","1751-2395","1751-2409","PSYCHOLOGY, SOCIAL - SSCI","1,202","9.857","Q1","3.17","25"%,
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","J PERS SOC PSYCHOL","0022-3514","1939-1315","PSYCHOLOGY, SOCIAL - SSCI","100,429","8.46","Q1","2.58","0.48"%,
"Advances in Experimental Social Psychology","ADV EXP SOC PSYCHOL","0065-2601","1557-8410","PSYCHOLOGY, SOCIAL - SSCI","8,450","7.263","Q1","2.32","0"%,
"EUROPEAN JOURNAL OF PERSONALITY","EUR J PERSONALITY","0890-2070","1099-0984","PSYCHOLOGY, SOCIAL - SSCI","5,531","7","Q1","1.85","19.43"%,
"BRITISH JOURNAL OF SOCIAL PSYCHOLOGY","BRIT J SOC PSYCHOL","0144-6665","2044-8309","PSYCHOLOGY, SOCIAL - SSCI","6,983","6.92","Q1","1.72","31.9"%,
"Cyberpsychology Behavior and Social Networking","CYBERPSYCH BEH SOC N","2152-2715","2152-2723","PSYCHOLOGY, SOCIAL - SSCI","8,007","6.135","Q1","1.31","5.5"%,
"European Review of Social Psychology","EUR REV SOC PSYCHOL","1046-3283","1479-277X","PSYCHOLOGY, SOCIAL - SSCI","2,360","5.652","Q1","1.75","18.42"%,
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","0749-5978","1095-9920","PSYCHOLOGY, SOCIAL - SSCI","17,800","5.606","Q1","1.4","12.39"%,
"JOURNAL OF PERSONALITY","J PERS","0022-3506","1467-6494","PSYCHOLOGY, SOCIAL - SSCI","13,058","5.429","Q1","1.56","14.34"%,
"JOURNAL OF SOCIAL ISSUES","J SOC ISSUES","0022-4537","1540-4560","PSYCHOLOGY, SOCIAL - SSCI","10,735","5.418","Q1","1.85","6.29"%,
"Social Psychological and Personality Science","SOC PSYCHOL PERS SCI","1948-5506","1948-5514","PSYCHOLOGY, SOCIAL - SSCI","6,951","5.316","Q1","1.47","17.38"%,
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","J HEALTH SOC BEHAV","0022-1465","2150-6000","PSYCHOLOGY, SOCIAL - SSCI","12,917","5.179","Q1","1.65","3.92"%,
"CHILD ABUSE & NEGLECT","CHILD ABUSE NEGLECT","0145-2134","1873-7757","PSYCHOLOGY, SOCIAL - SSCI","20,006","4.863","Q1","1.72","10.01"%,
"POLITICAL PSYCHOLOGY","POLIT PSYCHOL","0162-895X","1467-9221","PSYCHOLOGY, SOCIAL - SSCI","7,036","4.804","Q1","1.73","19.75"%,
"JOURNAL OF LOSS & TRAUMA","J LOSS TRAUMA","1532-5024","1532-5032","PSYCHOLOGY, SOCIAL - SSCI","2,106","4.775","Q1","1.06","5.21"%,
"Journal of Diversity in Higher Education","J DIVERS HIGH EDUC","1938-8926","1938-8934","PSYCHOLOGY, SOCIAL - SSCI","1,605","4.762","Q2","1.4","0"%,
"PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN","PERS SOC PSYCHOL B","0146-1672","1552-7433","PSYCHOLOGY, SOCIAL - SSCI","23,842","4.56","Q2","1.25","12.03"%,
"International Review of Social Psychology","INT REV SOC PSYCHOL","2397-8570","2397-8570","PSYCHOLOGY, SOCIAL - SSCI","500","4.2","Q2","0.9","100"%,
"RESEARCH ON LANGUAGE AND SOCIAL INTERACTION","RES LANG SOC INTERAC","0835-1813","1532-7973","PSYCHOLOGY, SOCIAL - SSCI","2,049","4.158","Q2","1.64","23.73"%,
"MOTIVATION AND EMOTION","MOTIV EMOTION","0146-7239","1573-6644","PSYCHOLOGY, SOCIAL - SSCI","6,270","4.135","Q2","0.86","21.76"%,
"Cultural Diversity & Ethnic Minority Psychology","CULT DIVERS ETHN MIN","1099-9809","1939-0106","PSYCHOLOGY, SOCIAL - SSCI","4,682","4.035","Q2","1.46","0"%,
