"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, APPLIED Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"JOURNAL OF MANAGEMENT","J MANAGE","0149-2063","1557-1211","PSYCHOLOGY, APPLIED - SSCI","36,651","13.508","Q1","2.67","16.67"%,
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","2327-0608","2327-0616","PSYCHOLOGY, APPLIED - SSCI","3,915","12.553","Q1","0.66","0"%,
"JOURNAL OF VOCATIONAL BEHAVIOR","J VOCAT BEHAV","0001-8791","1095-9084","PSYCHOLOGY, APPLIED - SSCI","18,542","12.082","Q1","1.95","10.88"%,
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","0021-9010","1939-1854","PSYCHOLOGY, APPLIED - SSCI","59,528","11.802","Q1","2.73","0"%,
"JOURNAL OF ORGANIZATIONAL BEHAVIOR","J ORGAN BEHAV","0894-3796","1099-1379","PSYCHOLOGY, APPLIED - SSCI","19,759","10.079","Q1","1.69","14.01"%,
"LEADERSHIP QUARTERLY","LEADERSHIP QUART","1048-9843","1873-3409","PSYCHOLOGY, APPLIED - SSCI","14,530","9.924","Q1","2.08","9.56"%,
"Industrial and Organizational Psychology-Perspectives on Science and Practice","IND ORGAN PSYCHOL-US","1754-9426","1754-9434","PSYCHOLOGY, APPLIED - SSCI","2,197","9.375","Q1","1.97","8.7"%,
"ORGANIZATIONAL RESEARCH METHODS","ORGAN RES METHODS","1094-4281","1552-7425","PSYCHOLOGY, APPLIED - SSCI","12,218","8.247","Q1","2.11","10.08"%,
"Journal of Occupational Health Psychology","J OCCUP HEALTH PSYCH","1076-8998","1939-1307","PSYCHOLOGY, APPLIED - SSCI","9,173","7.707","Q1","2.18","0"%,
"Qualitative Research in Sport Exercise and Health","QUAL RES SPORT EXERC","2159-676X","2159-6778","PSYCHOLOGY, APPLIED - SSCI","2,593","7.591","Q1","1.5","13.53"%,
