"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, DEVELOPMENTAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","0890-8567","1527-5418","PSYCHOLOGY, DEVELOPMENTAL - SSCI","25,754","13.113","Q1","2.76","16.48"%,
"DEVELOPMENTAL REVIEW","DEV REV","0273-2297","1090-2406","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,537","8.361","Q1","1.44","17.14"%,
"JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","J CHILD PSYCHOL PSYC","0021-9630","1469-7610","PSYCHOLOGY, DEVELOPMENTAL - SSCI","26,220","8.265","Q1","1.78","30.88"%,
"Journal of Adolescent Health","J ADOLESCENT HEALTH","1054-139X","1879-1972","PSYCHOLOGY, DEVELOPMENTAL - SSCI","23,158","7.898","Q1","1.91","12.39"%,
"MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT","MONOGR SOC RES CHILD","0037-976X","1540-5834","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,027","7.2","Q1","1.29","11.11"%,
"AUTISM","AUTISM","1362-3613","1461-7005","PSYCHOLOGY, DEVELOPMENTAL - SSCI","9,612","6.684","Q1","1.56","23.27"%,
"Child Development Perspectives","CHILD DEV PERSPECT","1750-8592","1750-8606","PSYCHOLOGY, DEVELOPMENTAL - SSCI","4,773","6.16","Q1","1.9","15.83"%,
"Developmental Cognitive Neuroscience","DEV COGN NEUROS-NETH","1878-9293","1878-9307","PSYCHOLOGY, DEVELOPMENTAL - SSCI","6,003","5.811","Q1","1.43","99.73"%,
"HUMAN DEVELOPMENT","HUM DEV","0018-716X","1423-0054","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,131","5.708","Q1","1","11.9"%,
"CHILD DEVELOPMENT","CHILD DEV","0009-3920","1467-8624","PSYCHOLOGY, DEVELOPMENTAL - SSCI","39,464","5.661","Q1","1.87","14.12"%,
"JOURNAL OF YOUTH AND ADOLESCENCE","J YOUTH ADOLESCENCE","0047-2891","1573-6601","PSYCHOLOGY, DEVELOPMENTAL - SSCI","14,630","5.625","Q1","1.38","22.31"%,
"Applied Developmental Science","APPL DEV SCI","1088-8691","1532-480X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,984","5.5","Q1","1.18","6.72"%,
"EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","EUR CHILD ADOLES PSY","1018-8827","1435-165X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","9,448","5.349","Q1","1.32","43.72"%,
"DEVELOPMENT AND PSYCHOPATHOLOGY","DEV PSYCHOPATHOL","0954-5794","1469-2198","PSYCHOLOGY, DEVELOPMENTAL - SSCI","14,942","5.317","Q1","1.36","16.15"%,
"JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY","J CLIN CHILD ADOLESC","1537-4416","1537-4424","PSYCHOLOGY, DEVELOPMENTAL - SSCI","8,215","5.077","Q1","1.51","4.67"%,
"Adolescent Research Review","ADOLESC RES REV","2363-8346","2363-8354","PSYCHOLOGY, DEVELOPMENTAL - SSCI","611","5.052","Q1","1.01","15.73"%,
"DEVELOPMENTAL SCIENCE","DEVELOPMENTAL SCI","1363-755X","1467-7687","PSYCHOLOGY, DEVELOPMENTAL - SSCI","10,601","4.939","Q1","1.43","20.59"%,
"Autism Research","AUTISM RES","1939-3792","1939-3806","PSYCHOLOGY, DEVELOPMENTAL - SSCI","6,859","4.633","Q1","1.28","15.1"%,
"DEVELOPMENTAL PSYCHOLOGY","DEV PSYCHOL","0012-1649","1939-0599","PSYCHOLOGY, DEVELOPMENTAL - SSCI","29,594","4.497","Q1","1.24","0.51"%,
"JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS","J AUTISM DEV DISORD","0162-3257","1573-3432","PSYCHOLOGY, DEVELOPMENTAL - SSCI","31,891","4.345","Q2","1.21","21.78"%,
"PSYCHOLOGY AND AGING","PSYCHOL AGING","0882-7974","1939-1498","PSYCHOLOGY, DEVELOPMENTAL - SSCI","12,803","4.201","Q2","1.08","1.78"%,
"Research in Human Development","RES HUM DEV","1542-7609","1542-7617","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,073","4.154","Q2","0.83","4.88"%,
"JOURNAL OF ABNORMAL CHILD PSYCHOLOGY","J ABNORM CHILD PSYCH","0091-0627","1573-2835","PSYCHOLOGY, DEVELOPMENTAL - SSCI","11,879","4.096","Q2","1.15","16.18"%,
"EARLY CHILDHOOD RESEARCH QUARTERLY","EARLY CHILD RES Q","0885-2006","1873-7706","PSYCHOLOGY, DEVELOPMENTAL - SSCI","6,917","3.815","Q2","1.81","6.33"%,
"SEX ROLES","SEX ROLES","0360-0025","1573-2762","PSYCHOLOGY, DEVELOPMENTAL - SSCI","12,443","3.812","Q2","1.46","10.94"%,
"Review Journal of Autism and Developmental Disorders","REV J AUTISM DEV DIS","2195-7177","2195-7185","PSYCHOLOGY, DEVELOPMENTAL - SSCI","938","3.747","Q2","0.48","20.98"%,
"JOURNAL OF ADOLESCENCE","J ADOLESCENCE","0140-1971","1095-9254","PSYCHOLOGY, DEVELOPMENTAL - SSCI","10,366","3.675","Q2","0.97","5.4"%,
"JOURNAL OF PEDIATRIC PSYCHOLOGY","J PEDIATR PSYCHOL","0146-8693","1465-735X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","8,676","3.624","Q2","0.92","3.78"%,
"JOURNAL OF RESEARCH ON ADOLESCENCE","J RES ADOLESCENCE","1050-8392","1532-7795","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,157","3.563","Q2","1.27","7.12"%,
"Advances in Child Development and Behavior","ADV CHILD DEV BEHAV","0065-2407","N/A","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,300","3.531","Q2","0.95","0"%,
"School Mental Health","SCH MENT HEALTH","1866-2625","1866-2633","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,505","3.325","Q2","0.82","12.2"%,
"Research in Autism Spectrum Disorders","RES AUTISM SPECT DIS","1750-9467","1878-0237","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,961","3.293","Q2","1.08","8.65"%,
"JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY","J APPL DEV PSYCHOL","0193-3973","1873-7900","PSYCHOLOGY, DEVELOPMENTAL - SSCI","4,651","3.28","Q2","0.92","7.17"%,
"Journal of Attention Disorders","J ATTEN DISORD","1087-0547","1557-1246","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,428","3.196","Q2","1.06","9.94"%,
"JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS","J DEV BEHAV PEDIATR","0196-206X","1536-7312","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,389","3.061","Q2","0.84","1.92"%,
"ATTACHMENT & HUMAN DEVELOPMENT","ATTACH HUM DEV","1461-6734","1469-2988","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,036","3.024","Q2","0.91","16.86"%,
"INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT","INT J BEHAV DEV","0165-0254","1464-0651","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,420","3.021","Q2","0.76","11.58"%,
"JOURNAL OF ADOLESCENT RESEARCH","J ADOLESCENT RES","0743-5584","1552-6895","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,489","3","Q2","0.78","12.41"%,
"Journal of Latinx Psychology","J LATINX PSYCHOL","2578-8086","2578-8094","PSYCHOLOGY, DEVELOPMENTAL - SSCI","156","2.952","Q2","0.76","0"%,
"CHILD CARE HEALTH AND DEVELOPMENT","CHILD CARE HLTH DEV","0305-1862","1365-2214","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,549","2.943","Q3","0.81","16.27"%,
"Journal of School Violence","J SCH VIOLENCE","1538-8220","1538-8239","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,359","2.835","Q3","1.17","1.49"%,
"Journal of Child and Family Studies","J CHILD FAM STUD","1062-1024","1573-2843","PSYCHOLOGY, DEVELOPMENTAL - SSCI","9,336","2.784","Q3","0.73","10.8"%,
"CHILD PSYCHIATRY & HUMAN DEVELOPMENT","CHILD PSYCHIAT HUM D","0009-398X","1573-3327","PSYCHOLOGY, DEVELOPMENTAL - SSCI","4,153","2.776","Q3","0.79","21"%,
"JOURNAL OF CHILD LANGUAGE","J CHILD LANG","0305-0009","1469-7602","PSYCHOLOGY, DEVELOPMENTAL - SSCI","4,243","2.701","Q3","0.88","27.35"%,
"INFANT BEHAVIOR & DEVELOPMENT","INFANT BEHAV DEV","0163-6383","1879-0453","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,148","2.671","Q3","0.69","10.6"%,
"Journal of Cognition and Development","J COGN DEV","1524-8372","1532-7647","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,964","2.58","Q3","0.66","10.53"%,
"JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY","J EXP CHILD PSYCHOL","0022-0965","1096-0457","PSYCHOLOGY, DEVELOPMENTAL - SSCI","10,339","2.547","Q3","0.83","10.21"%,
"SOCIAL DEVELOPMENT","SOC DEV","0961-205X","1467-9507","PSYCHOLOGY, DEVELOPMENTAL - SSCI","4,501","2.462","Q3","0.61","14.41"%,
"INFANCY","INFANCY","1525-0008","1532-7078","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,351","2.459","Q3","0.63","16.46"%,
"Focus on Autism and Other Developmental Disabilities","FOCUS AUTISM DEV DIS","1088-3576","1538-4829","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,570","2.434","Q3","1.06","2.74"%,
"JOURNAL OF EARLY ADOLESCENCE","J EARLY ADOLESCENCE","0272-4316","1552-5449","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,104","2.229","Q3","0.84","8.47"%,
"CHILD & YOUTH CARE FORUM","CHILD YOUTH CARE FOR","1053-1890","1573-3319","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,508","2.203","Q3","0.5","18.75"%,
"INFANT MENTAL HEALTH JOURNAL","INFANT MENT HEALTH J","0163-9641","1097-0355","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,940","2.15","Q3","0.58","16.57"%,
"BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY","BRIT J DEV PSYCHOL","0261-510X","2044-835X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,311","2.148","Q3","0.65","20.17"%,
"Early Education and Development","EARLY EDUC DEV","1040-9289","1556-6935","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,426","2.115","Q3","0.79","5.24"%,
"DEVELOPMENTAL NEUROPSYCHOLOGY","DEV NEUROPSYCHOL","8756-5641","1532-6942","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,747","2.113","Q3","0.58","10.71"%,
"AGING NEUROPSYCHOLOGY AND COGNITION","AGING NEUROPSYCHOL C","1382-5585","1744-4128","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,956","2.102","Q3","0.56","10.38"%,
"Clinical Child Psychology and Psychiatry","CLIN CHILD PSYCHOL P","1359-1045","1461-7021","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,846","2.087","Q3","0.61","14.8"%,
