"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, EDUCATIONAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"EDUCATIONAL PSYCHOLOGY REVIEW","EDUC PSYCHOL REV","1040-726X","1573-336X","PSYCHOLOGY, EDUCATIONAL - SSCI","8,065","8.24","Q1","2.31","36.57"%,
"EDUCATIONAL PSYCHOLOGIST","EDUC PSYCHOL-US","0046-1520","1532-6985","PSYCHOLOGY, EDUCATIONAL - SSCI","8,108","8.209","Q1","1.82","4.84"%,
"CONTEMPORARY EDUCATIONAL PSYCHOLOGY","CONTEMP EDUC PSYCHOL","0361-476X","1090-2384","PSYCHOLOGY, EDUCATIONAL - SSCI","8,284","6.922","Q1","2.33","12.12"%,
"JOURNAL OF EDUCATIONAL PSYCHOLOGY","J EDUC PSYCHOL","0022-0663","1939-2176","PSYCHOLOGY, EDUCATIONAL - SSCI","23,272","6.856","Q1","2.42","0.87"%,
"LEARNING AND INSTRUCTION","LEARN INSTR","0959-4752","1873-3263","PSYCHOLOGY, EDUCATIONAL - SSCI","7,870","6.636","Q1","2.84","21.74"%,
"JOURNAL OF THE LEARNING SCIENCES","J LEARN SCI","1050-8406","1532-7809","PSYCHOLOGY, EDUCATIONAL - SSCI","3,249","6.083","Q1","2.32","16.9"%,
"JOURNAL OF SCHOOL PSYCHOLOGY","J SCHOOL PSYCHOL","0022-4405","1873-3506","PSYCHOLOGY, EDUCATIONAL - SSCI","4,939","6.033","Q1","1.56","6.9"%,
"CHILD DEVELOPMENT","CHILD DEV","0009-3920","1467-8624","PSYCHOLOGY, EDUCATIONAL - SSCI","39,464","5.661","Q1","1.87","14.12"%,
"JOURNAL OF COUNSELING PSYCHOLOGY","J COUNS PSYCHOL","0022-0167","1939-2168","PSYCHOLOGY, EDUCATIONAL - SSCI","13,343","5.088","Q1","1.64","0"%,
"READING RESEARCH QUARTERLY","READ RES QUART","0034-0553","1936-2722","PSYCHOLOGY, EDUCATIONAL - SSCI","3,881","4.957","Q1","2.1","9.39"%,
"Journal of Diversity in Higher Education","J DIVERS HIGH EDUC","1938-8926","1938-8934","PSYCHOLOGY, EDUCATIONAL - SSCI","1,605","4.762","Q1","1.4","0"%,
"SCIENTIFIC STUDIES OF READING","SCI STUD READ","1088-8438","1532-799X","PSYCHOLOGY, EDUCATIONAL - SSCI","3,101","4.2","Q1","1.65","15.38"%,
"LEARNING AND INDIVIDUAL DIFFERENCES","LEARN INDIVID DIFFER","1041-6080","1873-3425","PSYCHOLOGY, EDUCATIONAL - SSCI","7,545","3.897","Q1","1.21","14.55"%,
"Revista de Psicodidactica","REV PSICODIDACT","1136-1034","2254-4372","PSYCHOLOGY, EDUCATIONAL - SSCI","693","3.775","Q1","1.8","0"%,
