journal,JIF_2021,ISSN,eISSN,field,IF_rank
Journal Of Management,13.508,0149-2063,1557-1211,applied,1
Annual Review Of Organizational Psychology And Organizational Behavior,12.553,2327-0608,2327-0616,applied,2
Journal Of Vocational Behavior,12.082,0001-8791,1095-9084,applied,3
Journal Of Applied Psychology,11.802,0021-9010,1939-1854,applied,4
Journal Of Organizational Behavior,10.079,0894-3796,1099-1379,applied,5
Leadership Quarterly,9.924,1048-9843,1873-3409,applied,6
Industrial And Organizational Psychology-Perspectives On Science And Practice,9.375,1754-9426,1754-9434,applied,7
Organizational Research Methods,8.247,1094-4281,1552-7425,applied,8
Journal Of Occupational Health Psychology,7.707,1076-8998,1939-1307,applied,9
Qualitative Research In Sport Exercise And Health,7.591,2159-676X,2159-6778,applied,10
Behavioral And Brain Sciences,21.357,0140-525X,1469-1825,biological,1
Evolution And Human Behavior,5.327,1090-5138,1879-0607,biological,2
Psychophysiology,4.348,0048-5772,1469-8986,biological,3
Physiology & Behavior,3.742,0031-9384,1873-507X,biological,4
Experimental And Clinical Psychopharmacology,3.492,1064-1297,1936-2293,biological,5
Biological Psychology,3.111,0301-0511,1873-6246,biological,6
International Journal Of Psychophysiology,2.903,0167-8760,1872-7697,biological,7
Journal Of The Experimental Analysis Of Behavior,2.215,0022-5002,1938-3711,biological,8
Journal Of Experimental Psychology-Animal Learning And Cognition,2.088,2329-8456,2329-8464,biological,9
Learning & Behavior,1.926,1543-4494,1543-4508,biological,10
Annual Review Of Clinical Psychology,22.098,1548-5943,1548-5951,clinical,1
Journal Of Anxiety Disorders,13.711,0887-6185,1873-7897,clinical,2
International Journal Of Mental Health And Addiction,11.555,1557-1874,1557-1882,clinical,3
Clinical Psychology Review,11.397,0272-7358,1873-7811,clinical,4
Psychological Medicine,10.592,0033-2917,1469-8978,clinical,5
Health Psychology Review,9.638,1743-7199,1743-7202,clinical,6
Psychological Trauma-Theory Research Practice And Policy,9.398,1942-9681,1942-969X,clinical,7
International Journal Of Transgenderism,8.606,1553-2739,1434-4599,clinical,8
Depression And Anxiety,8.128,1091-4269,1520-6394,clinical,9
British Journal Of Health Psychology,8.101,1359-107X,2044-8287,clinical,10
Journal Of The American Academy Of Child And Adolescent Psychiatry,13.113,0890-8567,1527-5418,developmental,1
Developmental Review,8.361,0273-2297,1090-2406,developmental,2
Journal Of Child Psychology And Psychiatry,8.265,0021-9630,1469-7610,developmental,3
Journal Of Adolescent Health,7.898,1054-139X,1879-1972,developmental,4
Monographs Of The Society For Research In Child Development,7.2,0037-976X,1540-5834,developmental,5
Autism,6.684,1362-3613,1461-7005,developmental,6
Child Development Perspectives,6.16,1750-8592,1750-8606,developmental,7
Developmental Cognitive Neuroscience,5.811,1878-9293,1878-9307,developmental,8
Human Development,5.708,0018-716X,1423-0054,developmental,9
Journal Of Youth And Adolescence,5.625,0047-2891,1573-6601,developmental,10
Educational Psychology Review,8.24,1040-726X,1573-336X,educational,1
Educational Psychologist,8.209,0046-1520,1532-6985,educational,2
Contemporary Educational Psychology,6.922,0361-476X,1090-2384,educational,3
Journal Of Educational Psychology,6.856,0022-0663,1939-2176,educational,4
Learning And Instruction,6.636,0959-4752,1873-3263,educational,5
Journal Of The Learning Sciences,6.083,1050-8406,1532-7809,educational,6
Journal Of School Psychology,6.033,0022-4405,1873-3506,educational,7
Child Development,5.661,0009-3920,1467-8624,educational,8
Journal Of Counseling Psychology,5.088,0022-0167,1939-2168,educational,9
Reading Research Quarterly,4.957,0034-0553,1936-2722,educational,10
Trends In Cognitive Sciences,24.482,1364-6613,1879-307X,experimental,1
Nature Human Behaviour,24.252,2397-3374,2397-3374,experimental,2
Computers In Human Behavior,8.957,0747-5632,1873-7692,experimental,3
Advances In Experimental Social Psychology,7.263,0065-2601,1557-8410,experimental,4
Psychology Of Aesthetics Creativity And The Arts,6.395,1931-3896,1931-390X,experimental,5
Emotion,5.564,1528-3542,1931-1516,experimental,6
Npj Science Of Learning,5.513,N/A,2056-7936,experimental,7
Journal Of Experimental Psychology-General,5.498,0096-3445,1939-2222,experimental,8
Wiley Interdisciplinary Reviews-Cognitive Science,5.071,1939-5078,1939-5086,experimental,9
Developmental Science,4.939,1363-755X,1467-7687,experimental,10
