Source title,CiteScore,Highest percentile,2018-21 Citations,2018-21 Documents,% Cited,SNIP,SJR,Publisher
Psychological Science in the Public Interest,49.6,"99.0%
1/209
General Psychology",695,14,100,20.099,4.612,SAGE
Annual Review of Psychology,40.6,"99.0%
2/209
General Psychology",4185,103,99,12.336,8.804,Annual Reviews Inc.
Trends in Cognitive Sciences,29.3,"99.0%
1/150
Experimental and Cognitive Psychology",8182,279,93,6.627,6.222,Elsevier
Annual Review of Clinical Psychology,29,"99.0%
1/292
Clinical Psychology",2376,82,93,7.731,7.45,Annual Reviews Inc.
Psychological Bulletin,28.6,"98.0%
3/209
General Psychology",4232,148,81,9.954,7.504,APA
Personality and Social Psychology Review,28,"99.0%
1/296
Social Psychology",1568,56,86,8.227,7.66,SAGE
International Review of Sport and Exercise Psychology,27.1,"99.0%
1/230
Applied Psychology",1382,51,96,6.793,3.348,Taylor & Francis
Annual Review of Organizational Psychology and Organizational Behavior,26.6,"99.0%
1/213
Organizational Behavior and Human Resource Management",1806,68,94,8.805,8.656,Annual Reviews Inc.
The Lancet Child and Adolescent Health,21.7,"99.0%
1/341
Developmental and Educational Psychology",7263,335,79,6.502,4.385,Elsevier
Nature Human Behaviour,19.2,"99.0%
1/79
Behavioral Neuroscience",10676,557,75,7.735,5.205,Springer Nature
Clinical Psychology Review,17.1,"99.0%
2/292
Clinical Psychology",5056,295,88,5.331,4.466,Elsevier
Psychotherapy and Psychosomatics,17,"99.0%
3/292
Clinical Psychology",2145,126,87,3.783,4.032,Karger
Psychological Methods,16.9,"99.0%
1/61
Psychology (miscellaneous)",2612,155,86,6.114,5.295,APA
Perspectives on Psychological Science,16.4,"98.0%
4/209
General Psychology",5309,324,95,5.399,4.563,SAGE
Leadership Quarterly,16.2,"99.0%
3/1345
Sociology and Political Science",2896,179,94,4.362,4.907,Elsevier
Social Issues and Policy Review,15.8,"99.0%
4/1345
Sociology and Political Science",553,35,94,4.118,2.447,Wiley-Blackwell
Educational Psychologist,15.7,"99.0%
2/341
Developmental and Educational Psychology",1113,71,96,5.539,3.537,Taylor & Francis
Computers in Human Behavior,14.9,"99.0%
2/376
Arts and Humanities (miscellaneous)",23983,1607,92,3.234,2.174,Elsevier
Advances in Methods and Practices in Psychological Science,14.6,"97.0%
6/209
General Psychology",1068,73,77,6.187,4.95,SAGE
Human Resource Management Review,14,"97.0%
5/213
Organizational Behavior and Human Resource Management",2034,145,97,3.831,2.84,Elsevier
Psychological Review,14,"96.0%
7/209
General Psychology",1962,140,88,4.247,4.355,APA
European Journal of Psychology Applied to Legal Context,13.8,"99.0%
3/801
Law",553,40,95,2.699,1.455,Elsevier
Health Psychology Review,13.8,"98.0%
4/292
Clinical Psychology",1210,88,97,3.355,2.325,Taylor & Francis
Technological Forecasting and Social Change,13.7,"97.0%
12/423
Business and International Management",25247,1843,85,3.097,2.336,Elsevier
"Trauma, Violence, and Abuse",13.6,"98.0%
5/323
Health (social science)",3329,245,95,5.827,2.407,SAGE
Journal of the American Academy of Child and Adolescent Psychiatry,13.3,"99.0%
3/341
Developmental and Educational Psychology",4374,328,97,3.594,3.579,Elsevier
Journal of Child Psychology and Psychiatry and Allied Disciplines,13.1,"99.0%
3/298
Pediatrics, Perinatology and Child Health",6007,458,93,3.14,3.148,Wiley-Blackwell
Educational Psychology Review,13,"98.0%
5/341
Developmental and Educational Psychology",2527,194,90,4.848,3.255,Springer Nature
Neuroscience and Biobehavioral Reviews,12.8,"97.0%
2/65
Neuropsychology and Physiological Psychology",17634,1378,84,2.829,2.66,Elsevier
Journal of Occupational Health Psychology,12.4,"97.0%
12/562
Public Health, Environmental and Occupational Health",1851,149,86,3.404,3.014,APA
Research in Organizational Behavior,12.2,"98.0%
5/296
Social Psychology",232,19,58,2.853,3.871,Elsevier
Psychological Science,11.7,"96.0%
8/209
General Psychology",6809,580,83,3.537,3.02,SAGE
Journal of Organizational Behavior,11.6,"99.0%
11/1345
Sociology and Political Science",3107,268,89,3.786,3.88,Wiley-Blackwell
