sample_id,article_id,exclude,exclude_reason,ppc_linked
random,1,EXCLUDE,NO ACCESS,NA
random,2,RETAIN,NA,FALSE
random,3,RETAIN,NA,FALSE
random,4,RETAIN,NA,FALSE
random,5,RETAIN,NA,FALSE
random,6,RETAIN,NA,FALSE
random,7,RETAIN,NA,FALSE
random,8,RETAIN,NA,FALSE
random,9,RETAIN,NA,FALSE
random,10,RETAIN,NA,FALSE
random,11,RETAIN,NA,FALSE
random,12,RETAIN,NA,FALSE
random,13,RETAIN,NA,FALSE
random,14,EXCLUDE,NON-ENGLISH,NA
random,15,RETAIN,NA,FALSE
random,16,RETAIN,NA,FALSE
random,17,EXCLUDE,NOT EMPIRICAL,NA
random,18,RETAIN,NA,FALSE
random,19,RETAIN,NA,FALSE
random,20,RETAIN,NA,FALSE
random,21,RETAIN,NA,FALSE
random,22,EXCLUDE,NOT EMPIRICAL,NA
random,23,EXCLUDE,NOT EMPIRICAL,NA
random,24,RETAIN,NA,FALSE
random,25,RETAIN,NA,FALSE
random,26,RETAIN,NA,FALSE
random,27,RETAIN,NA,FALSE
random,28,RETAIN,NA,FALSE
random,29,RETAIN,NA,FALSE
random,30,EXCLUDE,NOT EMPIRICAL,NA
random,31,RETAIN,NA,FALSE
random,32,RETAIN,NA,FALSE
random,33,RETAIN,NA,FALSE
random,34,RETAIN,NA,FALSE
random,35,EXCLUDE,NO ACCESS,NA
random,36,RETAIN,NA,FALSE
random,37,RETAIN,NA,FALSE
random,38,EXCLUDE,NON-ENGLISH,NA
random,39,EXCLUDE,NOT EMPIRICAL,NA
random,40,EXCLUDE,NOT EMPIRICAL,NA
random,41,RETAIN,NA,FALSE
random,42,RETAIN,NA,FALSE
random,43,EXCLUDE,NO ACCESS,NA
random,44,RETAIN,NA,FALSE
random,45,RETAIN,NA,FALSE
random,46,RETAIN,NA,FALSE
random,47,RETAIN,NA,FALSE
random,48,EXCLUDE,NOT EMPIRICAL,NA
random,49,EXCLUDE,NON-ENGLISH,NA
random,50,RETAIN,NA,FALSE
random,51,EXCLUDE,NON-ENGLISH,NA
random,52,RETAIN,NA,FALSE
random,53,RETAIN,NA,FALSE
random,54,EXCLUDE,NO ACCESS,NA
random,55,EXCLUDE,NOT EMPIRICAL,NA
random,56,RETAIN,NA,FALSE
random,57,RETAIN,NA,FALSE
random,58,RETAIN,NA,FALSE
random,59,RETAIN,NA,FALSE
random,60,RETAIN,NA,FALSE
random,61,EXCLUDE,NOT EMPIRICAL,NA
random,62,RETAIN,NA,FALSE
random,63,RETAIN,NA,FALSE
random,64,RETAIN,NA,FALSE
random,65,RETAIN,NA,FALSE
random,66,RETAIN,NA,FALSE
random,67,RETAIN,NA,FALSE
random,68,EXCLUDE,NO ACCESS,NA
random,69,RETAIN,NA,FALSE
random,70,RETAIN,NA,FALSE
random,71,RETAIN,NA,FALSE
random,72,EXCLUDE,NOT EMPIRICAL,NA
random,73,EXCLUDE,NO ACCESS,NA
random,74,RETAIN,NA,FALSE
random,75,RETAIN,NA,FALSE
random,76,RETAIN,NA,FALSE
random,77,RETAIN,NA,FALSE
random,78,EXCLUDE,NO ACCESS,NA
random,79,RETAIN,NA,FALSE
random,80,RETAIN,NA,FALSE
random,81,EXCLUDE,NO ACCESS,NA
random,82,RETAIN,NA,FALSE
random,83,RETAIN,NA,FALSE
random,84,RETAIN,NA,FALSE
random,85,RETAIN,NA,FALSE
random,86,RETAIN,NA,FALSE
random,87,EXCLUDE,NOT EMPIRICAL,NA
random,88,RETAIN,NA,FALSE
random,89,RETAIN,NA,FALSE
random,90,RETAIN,NA,FALSE
random,91,RETAIN,NA,FALSE
random,92,RETAIN,NA,FALSE
random,93,RETAIN,NA,FALSE
random,94,RETAIN,NA,FALSE
random,95,RETAIN,NA,FALSE
random,96,RETAIN,NA,FALSE
random,97,RETAIN,NA,FALSE
random,98,RETAIN,NA,FALSE
random,99,RETAIN,NA,FALSE
random,100,RETAIN,NA,FALSE
random,101,EXCLUDE,NOT EMPIRICAL,NA
random,102,RETAIN,NA,FALSE
random,103,EXCLUDE,NOT EMPIRICAL,NA
random,104,EXCLUDE,NOT EMPIRICAL,NA
random,105,RETAIN,NA,FALSE
random,106,RETAIN,NA,FALSE
random,107,RETAIN,NA,FALSE
random,108,RETAIN,NA,FALSE
random,109,RETAIN,NA,FALSE
random,110,RETAIN,NA,FALSE
random,111,RETAIN,NA,FALSE
random,112,EXCLUDE,NOT EMPIRICAL,NA
random,113,EXCLUDE,NOT EMPIRICAL,NA
random,114,RETAIN,NA,FALSE
random,115,RETAIN,NA,FALSE
random,116,RETAIN,NA,FALSE
random,117,EXCLUDE,NOT EMPIRICAL,NA
random,118,RETAIN,NA,FALSE
random,119,RETAIN,NA,FALSE
random,120,RETAIN,NA,FALSE
random,121,RETAIN,NA,FALSE
random,122,RETAIN,NA,FALSE
random,123,EXCLUDE,NOT EMPIRICAL,NA
random,124,EXCLUDE,NO ACCESS,NA
random,125,RETAIN,NA,FALSE
random,126,RETAIN,NA,FALSE
random,127,RETAIN,NA,FALSE
random,128,RETAIN,NA,FALSE
random,129,RETAIN,NA,FALSE
random,130,EXCLUDE,NOT EMPIRICAL,NA
random,131,RETAIN,NA,FALSE
random,132,RETAIN,NA,FALSE
random,133,RETAIN,NA,FALSE
prominent,1,RETAIN,NA,FALSE
