sample_id,journal_name,is_empirical,has_ppc,ppc_type,ppc_name,ppc_description,ppc_length,ppc_time,ppc_ref,ppc_review,cope,field,jif
random,ACTA PSYCHOLOGICA,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Experimental,1.984
random,ACTA PSYCHOLOGICA,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Experimental,1.984
random,ACTA PSYCHOLOGICA,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Experimental,1.984
random,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,TRUE,YES,A,Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,TRUE,Biological,NA
random,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Biological,NA
random,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Biological,NA
random,ADDICTIVE BEHAVIORS,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Clinical,4.591
random,ADDICTIVE BEHAVIORS,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Clinical,4.591
random,ADDICTIVE BEHAVIORS,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Clinical,4.591
random,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,TRUE,YES,A,Commentary,"A Commentary is an invited submission for a Special Issue/Section of the journal, or a submission in response to an article previously published in the journal. When submitted in response to a published article, a Commentary should include a title, abstract, and keywords, and be limited to no more than 2,000 words and up to ten references (about 8-10 pages INCLUSIVE). Commentaries of articles previously published in the journal may be accompanied by an invited response from the author(s) of the original article. AJCP welcomes commentaries on work published in the journal; readers interested in submitting a Commentary should contact the Editor.",2000,NOT STATED,10,NOT STATED,TRUE,Multidisciplinary,4.019
random,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,4.019
random,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,4.019
random,ANALES DE PSICOLOGIA,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,General,2.325
random,ANALES DE PSICOLOGIA,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,General,2.325
random,ANALES DE PSICOLOGIA,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,General,2.325
random,APPLIED COGNITIVE PSYCHOLOGY,TRUE,ARCHIVE,A,NA,NA,NA,NA,NA,NA,FALSE,Experimental,2.36
random,APPLIED COGNITIVE PSYCHOLOGY,TRUE,ARCHIVE,B,NA,NA,NA,NA,NA,NA,FALSE,Experimental,2.36
random,APPLIED COGNITIVE PSYCHOLOGY,TRUE,ARCHIVE,C,NA,NA,NA,NA,NA,NA,FALSE,Experimental,2.36
random,APPLIED MEASUREMENT IN EDUCATION,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.528
random,APPLIED MEASUREMENT IN EDUCATION,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.528
random,APPLIED MEASUREMENT IN EDUCATION,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.528
random,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,1.797
random,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,1.797
random,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,1.797
random,ATTACHMENT & HUMAN DEVELOPMENT,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,3.024
random,ATTACHMENT & HUMAN DEVELOPMENT,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,3.024
random,ATTACHMENT & HUMAN DEVELOPMENT,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,3.024
random,AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,NA
random,AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,NA
random,AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,NA
