journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,...9,preserve_journal_scope,preserve_article_types,additional_notes,...13,ISSN,eISSN,Total Citations,2021 JIF,JIF Quartile,2021 JCI,Category,WOS_first_psych_category
APPLIED PSYCHOLOGY-HEALTH AND WELL BEING,https://iaap-journals.onlinelibrary.wiley.com/journal/17580854,https://iaap-journals.onlinelibrary.wiley.com/hub/journal/17580854/homepage/productinformation.html,https://iaap-journals.onlinelibrary.wiley.com/hub/journal/17580854/homepage/forauthors.html,FALSE,TRUE,AW,RT,NA,https://osf.io/9tykz,https://osf.io/fbyu9,NA,NA,1758-0846,1758-0854,2151,7.521,Q1,1.88,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
JOURNAL OF SOCIAL ISSUES,https://spssi.onlinelibrary.wiley.com/journal/15404560,https://spssi.onlinelibrary.wiley.com/hub/journal/15404560/aims-and-scope/read-full-aims-and-scope,https://spssi.onlinelibrary.wiley.com/hub/journal/15404560/about/author-guidelines,TRUE,TRUE,AW,RT,NA,https://osf.io/nzp5b,https://osf.io/2j8rn,NA,NA,0022-4537,1540-4560,10735,5.418,Q1,1.85,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
CURRENT OPINION IN PSYCHOLOGY,https://www.sciencedirect.com/journal/current-opinion-in-psychology,https://www.sciencedirect.com/journal/current-opinion-in-psychology/about/aims-and-scope,https://www.elsevier.com/journals/current-opinion-in-psychology/2352-250X/guide-for-authors,FALSE,TRUE,AW,RT,NA,https://osf.io/7b5rd,https://osf.io/q4e5m,Publishes meta-analyses,NA,2352-250X,2352-2518,8090,6.813,Q1,1.16,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGICAL SCIENCE,https://www.psychologicalscience.org/publications/psychological_science,https://www.psychologicalscience.org/publications/psychological_science,https://www.psychologicalscience.org/publications/psychological_science/ps-submissions,TRUE,TRUE,AW,RT,NA,https://osf.io/8zkgf,https://osf.io/vm4q6,NA,NA,0956-7976,1467-9280,42641,10.172,Q1,2.68,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,https://home.liebertpub.com/publications/cyberpsychology-behavior-and-social-networking/10/overview,https://home.liebertpub.com/publications/cyberpsychology-behavior-and-social-networking/10/overview,https://home.liebertpub.com/publications/cyberpsychology-behavior-and-social-networking/10/for-authors,FALSE,TRUE,AW,RT,NA,https://osf.io/4wgsp,https://osf.io/zpw78,NA,NA,2152-2715,2152-2723,8007,6.135,Q1,1.31,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF PERSONALITY,https://onlinelibrary.wiley.com/journal/14676494,https://onlinelibrary.wiley.com/page/journal/14676494/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/14676494/homepage/forauthors.html,TRUE,TRUE,AW,TEH,NA,https://osf.io/s4mrz,https://osf.io/8n2ru,NA,NA,0022-3506,1467-6494,13058,5.429,Q1,1.56,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF APPLIED PSYCHOLOGY,https://www.apa.org/pubs/journals/apl/,https://www.apa.org/pubs/journals/apl/,https://www.apa.org/pubs/journals/apl/,TRUE,TRUE,AW,TEH,NA,https://osf.io/dc97a,https://osf.io/dc97a ; https://osf.io/wvq85 (commentary guidelines),NA,NA,0021-9010,1939-1854,59528,11.802,Q1,2.73,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGY OF SPORT AND EXERCISE,https://www.sciencedirect.com/journal/psychology-of-sport-and-exercise,https://www.sciencedirect.com/journal/psychology-of-sport-and-exercise/about/aims-and-scope,https://www.elsevier.com/journals/psychology-of-sport-and-exercise/1469-0292/guide-for-authors,TRUE,TRUE,AW,RT,NA,https://osf.io/y5dmw,https://osf.io/8hsz3,NA,NA,1469-0292,1878-5476,8959,5.118,Q1,1.32,"PSYCHOLOGY - SCIE; PSYCHOLOGY, APPLIED - SSCI",PSYCHOLOGY - SCIE
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,https://www.sciencedirect.com/journal/journal-of-environmental-psychology,https://www.sciencedirect.com/journal/journal-of-environmental-psychology/about/aims-and-scope,https://www.elsevier.com/journals/journal-of-environmental-psychology/0272-4944/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/jrq2x,https://osf.io/s3g8v,NA,NA,0272-4944,1522-9610,17441,7.649,Q1,1.77,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
QUALITATIVE RESEARCH IN PSYCHOLOGY,https://www.tandfonline.com/journals/uqrp20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=uqrp20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=uqrp20,TRUE,TRUE,AW,TEH,NA,https://osf.io/azk4m,https://osf.io/rb9y8,NA,NA,1478-0887,1478-0895,14928,10.568,Q1,4.1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,https://www.apa.org/pubs/journals/cps,https://www.apa.org/pubs/journals/cps,https://www.apa.org/pubs/journals/cps,TRUE,TRUE,AW,TEH,NA,https://osf.io/nm9zk,https://osf.io/nm9zk,APA links given as (according to wikipedia) they took over publishing from Wiley in 2021 so represents the most recent descriptions,NA,0969-5893,1468-2850,4848,6.333,Q1,1.03,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
